original_continent,original_state,original_st,original_location_1,original_loc_1,original_location_2,original_loc_2,Geolocation Code
Canada,quebec,QC,trois-rivieres,trois,,,CAN-TRO
Canada,saskatchewan,SK,regina,regina,,,CAN-YQR
Canada,saskatchewan,SK,saskatoon,saskatoon,,,CAN-YXE
Canada,yukon territory,YT,whitehorse,whitehorse,,,CAN-YXY
USA,alabama,AL,auburn,auburn,,,USA-COG-AUA
USA,alabama,AL,birmingham,bham,,,USA-BIR
USA,alabama,AL,dothan,dothan,,,USA-DOT
USA,alabama,AL,florence / muscle shoals,shoals,,,USA-FOA
USA,alabama,AL,gadsden-anniston,gadsden,,,USA-GAD
USA,alabama,AL,huntsville / decatur,huntsville,,,USA-HUS
USA,alabama,AL,mobile,mobile,,,USA-MOI
USA,alabama,AL,montgomery,montgomery,,,USA-MOG
USA,alabama,AL,tuscaloosa,tuscaloosa,,,USA-TUS
USA,alaska,AK,anchorage / mat-su,anchorage,,,USA-ANC
USA,alaska,AK,fairbanks,fairbanks,,,USA-FAB
USA,alaska,AK,kenai peninsula,kenai,,,USA-AK-KEA
USA,alaska,AK,southeast alaska,juneau,,,USA-JUN
USA,arizona,AZ,flagstaff / sedona,flagstaff,,,USA-FLA
USA,arizona,AZ,mohave county,mohave,,,USA-AZ-MOH
USA,arizona,AZ,phoenix,phoenix,,,USA-PHX
USA,arizona,AZ,phoenix,phoenix,central/south phx,cph,USA-PHX-CEN
USA,arizona,AZ,phoenix,phoenix,east valley,evl,USA-PHX-EAS
USA,arizona,AZ,phoenix,phoenix,phx north,nph,USA-PHX-NOR
USA,arizona,AZ,phoenix,phoenix,west valley,wvl,USA-PHX-WES
USA,arizona,AZ,prescott,prescott,,,USA-PRE
USA,arizona,AZ,show low,showlow,,,USA-AZ-SHW
USA,arizona,AZ,sierra vista,sierravista,,,USA-SIE
USA,arizona,AZ,tucson,tucson,,,USA-TUC
USA,arizona,AZ,yuma,yuma,,,USA-YUM
USA,arkansas,AR,fayetteville,fayar,,,USA-FAA
USA,arkansas,AR,fort smith,fortsmith,,,USA-FOS
USA,arkansas,AR,jonesboro,jonesboro,,,USA-JON
USA,arkansas,AR,little rock,littlerock,,,USA-LIT
USA,arkansas,AR,texarkana,texarkana,,,USA-TEX
USA,california,CA,bakersfield,bakersfield,,,USA-BAK
USA,california,CA,chico,chico,,,USA-CHC
USA,california,CA,fresno / madera,fresno,,,USA-FRS
USA,california,CA,gold country,goldcountry,,,USA-CA-MAP
USA,california,CA,hanford-corcoran,hanford,,,USA-HAF
USA,california,CA,humboldt county,humboldt,,,USA-CA-HUM
USA,california,CA,imperial county,imperial,,,USA-CA-IMP
USA,california,CA,inland empire,inlandempire,,,USA-CA-RIE
USA,california,CA,los angeles,losangeles,,,USA-LAX
USA,california,CA,los angeles,losangeles,SF valley,sfv,USA-LAX-SFV
USA,california,CA,los angeles,losangeles,antelope valley,ant,USA-LAX-ANT
USA,california,CA,los angeles,losangeles,central LA,lac,USA-LAX-CEN
USA,california,CA,los angeles,losangeles,long beach / 562,lgb,USA-LAX-LON
USA,california,CA,los angeles,losangeles,san gabriel valley,sgv,USA-LAX-SAN
USA,california,CA,los angeles,losangeles,westside-southbay,wst,USA-LAX-WES
USA,california,CA,mendocino county,mendocino,,,USA-CA-MEN
USA,california,CA,merced,merced,,,USA-MEC
USA,california,CA,modesto,modesto,,,USA-MOD
USA,california,CA,monterey bay,monterey,,,USA-SLS
USA,california,CA,orange county,orangecounty,,,USA-CA-ORA
USA,california,CA,palm springs,palmsprings,,,USA-LAX-PLS
USA,california,CA,redding,redding,,,USA-RED
USA,california,CA,sacramento,sacramento,,,USA-SAC
USA,california,CA,san diego,sandiego,,,USA-SAN
USA,california,CA,san diego,sandiego,city of san diego,csd,USA-SAN-CIT
USA,california,CA,san diego,sandiego,east SD county,esd,USA-SAN-EAS
USA,california,CA,san diego,sandiego,north SD county,nsd,USA-SAN-NOR,
USA,california,CA,san diego,sandiego,south SD county,ssd,USA-SAN-SOU,
USA,california,CA,san francisco bay area,sfbay,,,USA-SFO,
USA,california,CA,san francisco bay area,sfbay,east bay,eby,USA-SFO-SAF,
USA,california,CA,san francisco bay area,sfbay,north bay,nby,USA-SFO-NOR,
USA,california,CA,san francisco bay area,sfbay,peninsula,pen,USA-SFO-PEN,
USA,california,CA,san francisco bay area,sfbay,san francisco,sfc,USA-SFO-SAF,
USA,california,CA,san francisco bay area,sfbay,santa cruz,scz,USA-SFO-SAT,
USA,california,CA,san francisco bay area,sfbay,south bay,sby,USA-SFO-SOU,
USA,california,CA,san luis obispo,slo,,,USA-SAL,
USA,california,CA,santa barbara,santabarbara,,,USA-SAB,
USA,california,CA,santa maria,santamaria,,,USA-SAB-SAM,
USA,california,CA,siskiyou county,siskiyou,,,USA-CA-SIS,
USA,california,CA,stockton,stockton,,,USA-STC,
USA,california,CA,susanville,susanville,,,USA-SUS,
USA,california,CA,ventura county,ventura,,,USA-VEN,
USA,california,CA,visalia-tulare,visalia,,,USA-VIS
USA,california,CA,yuba-sutter,yubasutter,,,USA-CA-STT
USA,colorado,CO,boulder,boulder,,,USA-DEN-BOU
USA,colorado,CO,colorado springs,cosprings,,,USA-COO
USA,colorado,CO,denver,denver,,,USA-DEN
USA,colorado,CO,eastern CO,eastco,,,USA-FRR
USA,colorado,CO,fort collins / north CO,fortcollins,,,USA-FOC
USA,colorado,CO,high rockies,rockies,,,USA-CO-PIK
USA,colorado,CO,pueblo,pueblo,,,USA-PUE
USA,colorado,CO,western slope,westslope,,,USA-GRJ
USA,connecticut,CT,eastern CT,newlondon,,,USA-NOI
USA,connecticut,CT,hartford,hartford,,,USA-HRT
USA,connecticut,CT,new haven,newhaven,,,USA-CT-NEH
USA,connecticut,CT,northwest CT,nwct,,,USA-CT-LIT
USA,delaware,DE,delaware,delaware,,,USA-DE
USA,district of columbia,DC,washington d.c.,washingtondc,,,USA-WAS
USA,district of columbia,DC,washington d.c.,washingtondc,district of columbia,doc,USA-WAS-DIS
USA,district of columbia,DC,washington d.c.,washingtondc,maryland,mld,USA-WAS-MAR
USA,district of columbia,DC,washington d.c.,washingtondc,northern virginia,nva,USA-WAS-NOR
USA,florida,FL,daytona beach,daytona,,,USA-ORL-DAY
USA,florida,FL,florida keys,keys,,,USA-KEY
USA,florida,FL,fort lauderdale,fortlauderdale,,,USA-MIA
USA,florida,FL,fort lauderdale,fortlauderdale,broward county,brw,USA-MIA-BRO
USA,florida,FL,fort lauderdale,fortlauderdale,miami / dade,mdc,USA-MIA-MIA
USA,florida,FL,fort lauderdale,fortlauderdale,palm beach co,pbc,USA-MIA-PAL
USA,florida,FL,ft myers / SW florida,fortmyers,,,USA-CAC
USA,florida,FL,ft myers / SW florida,fortmyers,charlotte co,chl,USA-FL-CHA
USA,florida,FL,ft myers / SW florida,fortmyers,collier co,col,USA-FL-COL
USA,florida,FL,ft myers / SW florida,fortmyers,lee county,lee,USA-FL-LLE
USA,florida,FL,gainesville,gainesville,,,USA-GAI
USA,florida,FL,heartland florida,cfl,,,USA-SEB
USA,florida,FL,jacksonville,jacksonville,,,USA-JAF
USA,florida,FL,lakeland,lakeland,,,USA-LAL
USA,florida,FL,north central FL,lakecity,,,USA-LAI
USA,florida,FL,ocala,ocala,,,USA-OCA
USA,florida,FL,okaloosa / walton,okaloosa,,,USA-FL-OKA
USA,florida,FL,orlando,orlando,,,USA-ORL
USA,florida,FL,panama city,panamacity,,,USA-PAN
USA,florida,FL,pensacola,pensacola,,,USA-PES
USA,florida,FL,sarasota-bradenton,sarasota,,,USA-SAR
USA,florida,FL,south florida,miami,,,USA-MIA
USA,florida,FL,south florida,miami,broward county,brw,USA-MIA-BRO
USA,florida,FL,south florida,miami,miami / dade,mdc,USA-MIA-MIA
USA,florida,FL,south florida,miami,palm beach co,pbc,USA-MIA-PAL
USA,florida,FL,space coast,spacecoast,,,USA-FL-BRE
USA,florida,FL,st augustine,staugustine,,,USA-FL-SAJ
USA,florida,FL,tallahassee,tallahassee,,,USA-TLH
USA,florida,FL,tampa bay area,tampa,,,USA-TPA
USA,florida,FL,tampa bay area,tampa,hernando co,hdo,USA-TPA-HER
USA,florida,FL,tampa bay area,tampa,hillsborough co,hil,USA-TPA-HIL
USA,florida,FL,tampa bay area,tampa,pasco co,psc,USA-TPA-PAS
USA,florida,FL,tampa bay area,tampa,pinellas co,pnl,USA-TPA-PIN
USA,florida,FL,treasure coast,treasure,,,USA-PTT
USA,florida,FL,west palm beach,westpalmbeach,,,USA-MIA
USA,florida,FL,west palm beach,westpalmbeach,broward county,brw,USA-MIA-BRO
USA,florida,FL,west palm beach,westpalmbeach,miami / dade,mdc,USA-MIA-MIA
USA,florida,FL,west palm beach,westpalmbeach,palm beach co,pbc,USA-MIA-PAL
USA,florida,FL,west palm beach,westpalmbeach,,,USA-MIA-WES
USA,georgia,GA,albany,albanyga,,,USA-ALG
USA,georgia,GA,athens,athensga,,,USA-ATG
USA,georgia,GA,atlanta,atlanta,,,USA-ATL
USA,georgia,GA,atlanta,atlanta,atlanta,atl,USA-ATL-ATL
USA,georgia,GA,atlanta,atlanta,otp east,eat,USA-ATL-OTE
USA,georgia,GA,atlanta,atlanta,otp north,nat,USA-ATL-OTN
USA,georgia,GA,atlanta,atlanta,otp south,sat,USA-ATL-OTS
USA,georgia,GA,atlanta,atlanta,otp west,wat,USA-ATL-OTW
USA,georgia,GA,augusta,augusta,,,USA-AUG
USA,georgia,GA,brunswick,brunswick,,,USA-BRU
USA,georgia,GA,columbus,columbusga,,,USA-COG
USA,georgia,GA,macon / warner robins,macon,,,USA-MCN
USA,georgia,GA,northwest GA,nwga,,,USA-ROM
USA,georgia,GA,savannah / hinesville,savannah,,,USA-SAV
USA,georgia,GA,statesboro,statesboro,,,USA-STS
USA,georgia,GA,valdosta,valdosta,,,USA-VAL
USA,hawaii,HI,hawaii,honolulu,,,USA-HON
USA,hawaii,HI,hawaii,honolulu,big island,big,USA-HIO-BIG
USA,hawaii,HI,hawaii,honolulu,kauai,kau,USA-KAP-KAU
USA,hawaii,HI,hawaii,honolulu,maui,mau,USA-KAH-MAU
USA,hawaii,HI,hawaii,honolulu,molokai,mol,USA-KAH-MOL
USA,hawaii,HI,hawaii,honolulu,oahu,oah,USA-HON-OAH
USA,idaho,ID,boise,boise,,,USA-BOI
USA,idaho,ID,east idaho,eastidaho,,,USA-IDA
USA,idaho,ID,lewiston / clarkston,lewiston,,,USA-LEN
USA,idaho,ID,twin falls,twinfalls,,,USA-TWI
USA,illinois,IL,bloomington-normal,bn,,,USA-BLL
USA,illinois,IL,champaign urbana,chambana,,,USA-CHP
USA,illinois,IL,chicago,chicago,,,USA-CHI
USA,illinois,IL,chicago,chicago,city of chicago,chc,USA-CHI-CHI
USA,illinois,IL,chicago,chicago,north chicagoland,nch,USA-CHI-NOR
USA,illinois,IL,chicago,chicago,northwest indiana,nwi,USA-CHI-NOI
USA,illinois,IL,chicago,chicago,northwest suburbs,nwc,USA-CHI-NOS
USA,illinois,IL,chicago,chicago,south chicagoland,sox,USA-CHI-SOU
USA,illinois,IL,chicago,chicago,west chicagoland,wcl,USA-CHI-WES
USA,illinois,IL,decatur,decatur,,,USA-DEC
USA,illinois,IL,la salle co,lasalle,,,USA-IL-LAS
USA,illinois,IL,mattoon-charleston,mattoon,,,USA-CAI
USA,illinois,IL,peoria,peoria,,,USA-PEO
USA,illinois,IL,rockford,rockford,,,USA-ROF
USA,illinois,IL,southern illinois,carbondale,,,USA-CRB
USA,illinois,IL,springfield,springfieldil,,,USA-SRI
USA,illinois,IL,western IL,quincy,,,USA-MAM
USA,indiana,IN,bloomington,bloomington,,,USA-BLN
USA,indiana,IN,evansville,evansville,,,USA-EVV
USA,indiana,IN,fort wayne,fortwayne,,,USA-FOW
USA,indiana,IN,indianapolis,indianapolis,,,USA-IDO
USA,indiana,IN,kokomo,kokomo,,,USA-KOK
USA,indiana,IN,lafayette / west lafayette,tippecanoe,,,USA-LFI
USA,indiana,IN,muncie / anderson,muncie,,,USA-MUN
USA,indiana,IN,richmond,richmondin,,,USA-RII
USA,indiana,IN,south bend / michiana,southbend,,,USA-SOB
USA,indiana,IN,terre haute,terrehaute,,,USA-TER
USA,iowa,IA,ames,ames,,,USA-AMS
USA,iowa,IA,cedar rapids,cedarrapids,,,USA-CER
USA,iowa,IA,des moines,desmoines,,,USA-DES
USA,iowa,IA,dubuque,dubuque,,,USA-DUU
USA,iowa,IA,fort dodge,fortdodge,,,USA-FOD
USA,iowa,IA,iowa city,iowacity,,,USA-IOW
USA,iowa,IA,mason city,masoncity,,,USA-MAS
USA,iowa,IA,quad cities,quadcities,,,USA-DAV
USA,iowa,IA,sioux city,siouxcity,,,USA-SIC
USA,iowa,IA,southeast IA,ottumwa,,,USA-BUI
USA,iowa,IA,waterloo / cedar falls,waterloo,,,USA-WTL
USA,kansas,KS,lawrence,lawrence,,,USA-LAK
USA,kansas,KS,manhattan,ksu,,,USA-MAH
USA,kansas,KS,northwest KS,nwks,,,USA-KS-RSS
USA,kansas,KS,salina,salina,,,USA-SAK
USA,kansas,KS,southeast KS,seks,,,USA-PIB
USA,kansas,KS,southwest KS,swks,,,USA-DOD
USA,kansas,KS,topeka,topeka,,,USA-TOP
USA,kansas,KS,wichita,wichita,,,USA-WIK
USA,kentucky,KY,bowling green,bgky,,,USA-BOW
USA,kentucky,KY,eastern kentucky,eastky,,,USA-KY-PIE
USA,kentucky,KY,lexington,lexington,,,USA-LEK
USA,kentucky,KY,louisville,louisville,,,USA-LOU
USA,kentucky,KY,owensboro,owensboro,,,USA-OWE
USA,kentucky,KY,western KY,westky,,,USA-PAD
USA,louisiana,LA,baton rouge,batonrouge,,,USA-BAO
USA,louisiana,LA,central louisiana,cenla,,,USA-AEL
USA,louisiana,LA,houma,houma,,,USA-HUM
USA,louisiana,LA,lafayette,lafayette,,,USA-LFL
USA,louisiana,LA,lake charles,lakecharles,,,USA-LKH
USA,louisiana,LA,monroe,monroe,,,USA-MNL
USA,louisiana,LA,new orleans,neworleans,,,USA-NEO
USA,louisiana,LA,shreveport,shreveport,,,USA-SHR
USA,maine,ME,maine,maine,,,USA-ME
USA,maryland,MD,annapolis,annapolis,,,USA-WAS-ANM
USA,maryland,MD,baltimore,baltimore,,,USA-MD-BAC
USA,maryland,MD,eastern shore,easternshore,,,USA-SAS
USA,maryland,MD,frederick,frederick,,,USA-MD-FRE
USA,maryland,MD,southern maryland,smd,,,USA-MD-CAL
USA,maryland,MD,western maryland,westmd,,,USA-HAG
USA,massachusetts,MA,boston,boston,,,USA-BOS
USA,massachusetts,MA,boston,boston,boston/camb/brook,gbs,USA-BOS-BOS
USA,massachusetts,MA,boston,boston,metro west,bmw,USA-BOS-MET
USA,massachusetts,MA,boston,boston,north shore,nos,USA-BOS-NOS
USA,massachusetts,MA,boston,boston,northwest/merrimack,nwb,USA-BOS-NOW
USA,massachusetts,MA,boston,boston,south shore,sob,USA-BOS-SOU
USA,massachusetts,MA,cape cod / islands,capecod,,,USA-MA-BAR
USA,massachusetts,MA,south coast,southcoast,,,USA-MA-BRI
USA,massachusetts,MA,western massachusetts,westernmass,,,USA-SRA
USA,massachusetts,MA,worcester / central MA,worcester,,,USA-MA-WOR
USA,michigan,MI,ann arbor,annarbor,,,USA-DET-ANN
USA,michigan,MI,battle creek,battlecreek,,,USA-BAT
USA,michigan,MI,central michigan,centralmich,,,USA-MOM
USA,michigan,MI,detroit metro,detroit,,,USA-DET
USA,michigan,MI,detroit metro,detroit,macomb co,mcb,USA-DET-MAC
USA,michigan,MI,detroit metro,detroit,oakland co,okl,USA-DET-OAK
USA,michigan,MI,detroit metro,detroit,wayne co,wyn,USA-DET-WAY
USA,michigan,MI,flint,flint,,,USA-DET-FLI
USA,michigan,MI,grand rapids,grandrapids,,,USA-GRR
USA,michigan,MI,holland,holland,,,USA-GRR-HOL
USA,michigan,MI,jackson,jxn,,,USA-JMI
USA,michigan,MI,kalamazoo,kalamazoo,,,USA-KAA
USA,michigan,MI,lansing,lansing,,,USA-LNS
USA,michigan,MI,monroe,monroemi,,,USA-DET-MOR
USA,michigan,MI,muskegon,muskegon,,,USA-GRR-MUS
USA,michigan,MI,northern michigan,nmi,,,USA-TRA,
USA,michigan,MI,port huron,porthuron,,,USA-DET-POR,
USA,michigan,MI,saginaw-midland-baycity,saginaw,,,USA-SAG,
USA,michigan,MI,southwest michigan,swmi,,,USA-NIL,
USA,michigan,MI,the thumb,thumb,,,USA-MI-HUR,
USA,michigan,MI,upper peninsula,up,,,USA-MAQ,
USA,minnesota,MN,bemidji,bemidji,,,USA-BEM,
USA,minnesota,MN,brainerd,brainerd,,,USA-BRI,
USA,minnesota,MN,duluth / superior,duluth,,,USA-DUL,
USA,minnesota,MN,mankato,mankato,,,USA-MAK,
USA,minnesota,MN,minneapolis / st paul,minneapolis,,,USA-MIN,
USA,minnesota,MN,minneapolis / st paul,minneapolis,anok/chis/isa,ank,USA-MIN-ANO,ANO
USA,minnesota,MN,minneapolis / st paul,minneapolis,carv/sher/wri,csw,USA-MIN-CAR,CAR
USA,minnesota,MN,minneapolis / st paul,minneapolis,dakota/scott,dak,USA-MIN-DAK,DAK
USA,minnesota,MN,minneapolis / st paul,minneapolis,hennepin co,hnp,USA-MIN-HEN,HEN
USA,minnesota,MN,minneapolis / st paul,minneapolis,ramsey co,ram,USA-MIN-RAM,RAM
USA,minnesota,MN,minneapolis / st paul,minneapolis,washington/WI,wsh,USA-MIN-WAS,WAS
USA,minnesota,MN,rochester,rmn,,,USA-RCM,
USA,minnesota,MN,southwest MN,marshall,,,USA-MSN,
USA,minnesota,MN,st cloud,stcloud,,,USA-MN-STA,
USA,mississippi,MS,gulfport / biloxi,gulfport,,,USA-GUL,
USA,mississippi,MS,hattiesburg,hattiesburg,,,USA-HAT,
USA,mississippi,MS,jackson,jackson,,,USA-JCS,
USA,mississippi,MS,meridian,meridian,,,USA-MEI,
USA,mississippi,MS,north mississippi,northmiss,,,USA-MS-DES,
USA,mississippi,MS,southwest MS,natchez,,,USA-MCC,
USA,missouri,MO,columbia / jeff city,columbiamo,,,USA-CIM,
USA,missouri,MO,joplin,joplin,,,USA-JOP,
USA,missouri,MO,kansas city,kansascity,,,USA-KAN,
USA,missouri,MO,kirksville,kirksville,,,USA-KIR,
USA,missouri,MO,lake of the ozarks,loz,,,USA-MO-CMD,
USA,missouri,MO,southeast missouri,semo,,,USA-CAG,
USA,missouri,MO,springfield,springfield,,,USA-SRO
USA,missouri,MO,st joseph,stjoseph,,,USA-STJ
USA,missouri,MO,st louis,stlouis,,,USA-STL
USA,montana,MT,billings,billings,,,USA-BIL
USA,montana,MT,bozeman,bozeman,,,USA-BOZ
USA,montana,MT,butte,butte,,,USA-BUT
USA,montana,MT,great falls,greatfalls,,,USA-GEF
USA,montana,MT,helena,helena,,,USA-HEL
USA,montana,MT,kalispell,kalispell,,,USA-KAI
USA,montana,MT,missoula,missoula,,,USA-MIS
USA,montana,MT,montana (old),montana,,,USA-MT
USA,nebraska,NE,grand island,grandisland,,,USA-GRI
USA,nebraska,NE,lincoln,lincoln,,,USA-LIN
USA,nebraska,NE,north platte,northplatte,,,USA-NOP
USA,nebraska,NE,omaha / council bluffs,omaha,,,USA-OMA
USA,nebraska,NE,scottsbluff / panhandle,scottsbluff,,,USA-SCL
USA,nevada,NV,elko,elko,,,USA-ELO
USA,nevada,NV,las vegas,lasvegas,,,USA-LAS
USA,nevada,NV,reno / tahoe,reno,,,USA-REN
USA,new hampshire,NH,new hampshire,nh,,,USA-NH
USA,new jersey,NJ,central NJ,cnj,,,USA-NJ-MID
USA,new jersey,NJ,jersey shore,jerseyshore,,,USA-ATA
USA,new jersey,NJ,north jersey,newjersey,,,USA-NJ-MOR
USA,new jersey,NJ,south jersey,southjersey,,,USA-NJ-CAM
USA,new mexico,NM,albuquerque,albuquerque,,,USA-ABU
USA,new mexico,NM,clovis / portales,clovis,,,USA-CLO
USA,new mexico,NM,farmington,farmington,,,USA-FAM
USA,new mexico,NM,las cruces,lascruces,,,USA-LSC
USA,new mexico,NM,roswell / carlsbad,roswell,,,USA-ROW
USA,new mexico,NM,santa fe / taos,santafe,,,USA-STF
USA,new york,NY,albany,albany,,,USA-ALN
USA,new york,NY,binghamton,binghamton,,,USA-BIN
USA,new york,NY,buffalo,buffalo,,,USA-BUF
USA,new york,NY,catskills,catskills,,,USA-NY-SUL
USA,new york,NY,chautauqua,chautauqua,,,USA-JAY
USA,new york,NY,elmira-corning,elmira,,,USA-ELM
USA,new york,NY,finger lakes,fingerlakes,,,USA-NY-SEN
USA,new york,NY,glens falls,glensfalls,,,USA-ALN-GLS
USA,new york,NY,hudson valley,hudsonvalley,,,USA-NY-DUT
USA,new york,NY,ithaca,ithaca,,,USA-ITH
USA,new york,NY,long island,longisland,,,USA-NYM-LON
USA,new york,NY,new york city,newyork,,,USA-NYM
USA,new york,NY,new york city,newyork,bronx,brx,USA-NYM-BRN
USA,new york,NY,new york city,newyork,brooklyn,brk,USA-NYM-BRO
USA,new york,NY,new york city,newyork,fairfield,fct,USA-NYM-FAI
USA,new york,NY,new york city,newyork,long island,lgi,USA-NYM-LON
USA,new york,NY,new york city,newyork,manhattan,mnh,USA-NYM-MAN
USA,new york,NY,new york city,newyork,new jersey,jsy,USA-NYM-NEW
USA,new york,NY,new york city,newyork,queens,que,USA-NYM-QUE
USA,new york,NY,new york city,newyork,staten island,stn,USA-NYM-STA
USA,new york,NY,new york city,newyork,westchester,wch,USA-NYM-WES
USA,new york,NY,oneonta,oneonta,,,USA-ONE
USA,new york,NY,plattsburgh-adirondacks,plattsburgh,,,USA-PLS
USA,new york,NY,potsdam-canton-massena,potsdam,,,USA-NY-SAI
USA,new york,NY,rochester,rochester,,,USA-RON
USA,new york,NY,syracuse,syracuse,,,USA-SYR
USA,new york,NY,twin tiers NY/PA,twintiers,,,USA-NY-ALL
USA,new york,NY,utica-rome-oneida,utica,,,USA-UTI
USA,new york,NY,watertown,watertown,,,USA-WTN
USA,north carolina,NC,asheville,asheville,,,USA-ASE
USA,north carolina,NC,boone,boone,,,USA-BOO
USA,north carolina,NC,charlotte,charlotte,,,USA-CTN
USA,north carolina,NC,eastern NC,eastnc,,,USA-GNN
USA,north carolina,NC,fayetteville,fayetteville,,,USA-FAN
USA,north carolina,NC,greensboro,greensboro,,,USA-GSO
USA,north carolina,NC,hickory / lenoir,hickory,,,USA-HIC
USA,north carolina,NC,jacksonville,onslow,,,USA-JCN
USA,north carolina,NC,outer banks,outerbanks,,,USA-KID
USA,north carolina,NC,raleigh / durham / CH,raleigh,,,USA-RAL-RAL
USA,north carolina,NC,wilmington,wilmington,,,USA-WIM
USA,north carolina,NC,winston-salem,winstonsalem,,,USA-GSO-WIN
USA,north dakota,ND,bismarck,bismarck,,,USA-BIM
USA,north dakota,ND,fargo / moorhead,fargo,,,USA-FAG
USA,north dakota,ND,grand forks,grandforks,,,USA-GAF
USA,north dakota,ND,north dakota,nd,,,USA-ND
USA,ohio,OH,akron / canton,akroncanton,,,USA-CAT
USA,ohio,OH,ashtabula,ashtabula,,,USA-CLE-ASH
USA,ohio,OH,athens,athensohio,,,USA-ATO
USA,ohio,OH,chillicothe,chillicothe,,,USA-CUO-CHI
USA,ohio,OH,cincinnati,cincinnati,,,USA-CIN
USA,ohio,OH,cleveland,cleveland,,,USA-CLE
USA,ohio,OH,columbus,columbus,,,USA-CUO
USA,ohio,OH,dayton / springfield,dayton,,,USA-DAY
USA,ohio,OH,lima / findlay,limaohio,,,USA-LIM
USA,ohio,OH,mansfield,mansfield,,,USA-MNS
USA,ohio,OH,sandusky,sandusky,,,USA-SAD
USA,ohio,OH,toledo,toledo,,,USA-TOL
USA,ohio,OH,tuscarawas co,tuscarawas,,,USA-NEP
USA,ohio,OH,youngstown,youngstown,,,USA-YOU
USA,ohio,OH,zanesville / cambridge,zanesville,,,USA-ZAN
USA,oklahoma,OK,lawton,lawton,,,USA-LAT
USA,oklahoma,OK,northwest OK,enid,,,USA-ENI
USA,oklahoma,OK,oklahoma city,oklahomacity,,,USA-OKL
USA,oklahoma,OK,stillwater,stillwater,,,USA-STI
USA,oklahoma,OK,tulsa,tulsa,,,USA-TLS
USA,oregon,OR,bend,bend,,,USA-BND
USA,oregon,OR,corvallis/albany,corvallis,,,USA-ABO
USA,oregon,OR,east oregon,eastoregon,,,USA-PED
USA,oregon,OR,eugene,eugene,,,USA-EUG
